English,Turkish
crew,mürettebat
challenge,meydanokumak
market,pazar
meat,et
towards,karşı
bringing,getirme
dropped,düşmüş
student,Öğrenci
lied,Yalan
size,boyut
breathe,nefesalmak
color,renk
monster,canavar
loud,yükseksesle
nearly,azkalsın
sight,görme
greatest,Enbüyük
games,oyunlar
bridge,köprü
dressed,giyinmiş
arrested,tutuklanmış
horrible,berbat
coach,koç
planning,planlama
checked,kontrol
breaking,sonDakika
noticed,algılanan
fantastic,harika
screams,çığlıklar
serve,servis
ideas,fikir
center,merkez
older,dahaeski
pack,ambalaj
soldiers,asker
nonsense,saçmalık
doc,doc
project,proje
training,eğitim
example,örnek
trick,kandırmak
prepared,tedarikli
united,Birleşik
travel,yolculuk
incredible,inanılmaz
grandpa,büyükbaba
paying,ödeme
character,karakter
teeth,dişler
criminal,adli
charles,Charles
chinese,Çince
truly,tamamen
honestly,gerçekten
bro,kanka
survive,hayattakalmak
bobby,bobby
feed,beslemek
nurse,hemşire
e,e
fake,numarayapmak
records,kayıtlar
breathing,nefesalma
sweetie,Tatlım
numbers,sayılar
oil,sıvıyağ
suicide,intihar
whoo,Whoo
perfectly,mükemmelbirşekilde
amy,Amy
forgotten,unutulmuş
remain,kalmak
papa,papa
concerned,endişeli
credit,kredi
ugh,ugh
invited,davetli
discuss,tartışmak
research,Araştırma
easier,Dahakolay
view,görüş
hurts,canıyanmak
condition,şart
mountain,dağ
dr,dr
nowhere,Hiçbiryerde
sheriff,şerif
kim,Kimlik
brown,Kahverengi
recognize,tanımak
heads,kafalar
audience,kitle
all,tüm
jealous,kıskanç
pretend,numarayapmak
society,toplum
finding,bulma
shirt,gömlek
comfortable,rahat
meaning,anlam
guest,misafir
pieces,parçalar
dry,kuru
letting,izinvermek
began,başlamak
aye,ayyaş
jeff,Jeff
female,dişi
release,serbestbırakmak
ho,ho
cards,kart
pray,duaetmek
balls,toplar
destroyed,yerlebiredilmiş
ended,Bitti
universe,Evren
prepare,HAZIRLAMA
opinion,fikir
movies,filmler
soldier,asker
wash,yıkamak
program,program
heat,sıcaklık
usual,herzamanki
ticket,bilet
stolen,çalınan
prefer,tercih
aware,farkındaolmak
surely,elbette
male,erkek
base,temel
matters,meseleler
lab,laboratuvar
command,emretmek
proof,kanıt
cream,krem
selling,satış
believed,inanmış
create,oluşturmak
h,h
afford,parasıyetmek
Thursday,Perşembe
total,Toplam
dumb,sersem
threw,attı
birth,doğum
created,yaratılmış
realized,gerçekleştirilen
british,ingiliz
nuts,Fındık
students,öğrenciler
birds,kuşlar
social,sosyal
brilliant,muhteşem
bodies,bedenler
tie,bağlamak
opened,açıldı
ours,bizim
bucks,para
kevin,Kevin
ugly,çirkin
ryan,Ryan
focus,odak
dan,dan
opens,açılır
exist,mevcut
followed,takipetti
england,İngiltere
draw,Berabere
purpose,amaç
daniel,Daniel
opening,açılış
bullet,mermi
anna,Anna
lately,sonzamanlarda
stayed,kalmış
falling,düşme
season,mevsim
ends,son
suggest,önermek
joy,neşe
distance,mesafe
responsibility,sorumluluk
whenever,nezamanolursa
issue,sorun
thousands,binlerce
process,işlem
sword,kılıç
shower,duş
weak,güçsüz
fucked,becerikli
lonely,yalnız
eric,Eric
tiny,çokküçük
desk,sıra
pool,havuz
property,Emlak
forced,zoraki
settle,yerleşmek
indistinct,belirsiz
weight,ağırlık
received,Alınan
gang,çete
bite,ısırmak
Saturday,Cumartesi
disappeared,ortadankayboldu
interview,röportajyapmak
expecting,bekleyen
kinda,gibi
surgery,ameliyat
horses,atlar
ancient,Antik
handsome,yakışıklı
thomas,Thomas
saturday,cumartesi
staff,Personel
lines,çizgiler
unit,birim
fan,fan
gentleman,beyefendi
fate,kader
split,bölmek
recently,Geçenlerde
expected,beklenen
add,Ekle
slowly,yavaşyavaş
alarm,alarmvermek
member,üye
slept,uyudu
signed,imzalı
enter,girmek
spanish,İspanyol
garden,Bahçe
brings,getiriyor
brave,cesur
pig,domuz
model,model
finger,parmak
medicine,ilaç
access,erişim
failed,arızalı
flat,düz
easily,kolayca
based,temelli
screw,vida
insane,inanılmaz
cares,umursama
weather,hava
fingers,parmaklık
san,saniye
scott,Scott
soft,yumuşak
harm,zarar
style,stil
community,toplum
sees,görüyor
basically,temelolarak
al,al
signal,sinyal
nope,Hayır
spare,kıyamamak
speech,konuşma
covered,kapalı
shake,sallamak
loose,gevşetmek
snow,kar
russian,Rusça
lake,göl
bright,parlak
ohh,Aah
sending,gönderme
remind,hatırlatmak
pal,dost
post,İleti
sugar,Şeker
